Garibay-Febles, Vicente (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Microstructural characterization of chitosan and alginate films by microscopy techniques and texture image analysis","Arzate-Vazquez, Israel; Jorge Chanona-Perez, Jose; Calderon-Dominguez, Georgina; Terres-Rojas, Eduardo; Garibay-Febles, Vicente; Martinez-Rivas, Adrian; Fidel Gutierrez-Lopez, Gustavo","","","","CARBOHYDRATE POLYMERS","JAN 4 2012","2012","87","1","","","","289","299","","10.1016/j.carbpol.2011.07.044","","","101","7.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","10","9","7","4","10","7","10","10","12","5","5"
"Mathematical modelling of castor oil seeds (<i>Ricinus communis</i>) drying kinetics in fluidized bed at high temperatures","Perea-Flores, M. J.; Garibay-Febles, V.; Chanona-Perez, J. J.; Calderon-Dominguez, G.; Mendez-Mendez, J. V.; Palacios-Gonzalez, E.; Gutierrez-Lopez, G. F.","","","","INDUSTRIAL CROPS AND PRODUCTS","JUL 2012","2012","38","","","","","64","71","","10.1016/j.indcrop.2012.01.008","","","92","7.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","9","10","10","9","7","10","6","8","9","5","8"
"Synthesis of Selected Vinylimidazolium Ionic Liquids and Their Effectiveness as Corrosion Inhibitors for Carbon Steel in Aqueous Sulfuric Acid","Guzman-Lucero, Diego; Olivares-Xometl, Octavio; Martinez-Palou, Rafael; Likhanova, Natalya V.; Dominguez-Aguilar, Marco A.; Garibay-Febles, Vicente","","","","INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH","JUN 15 2011","2011","50","12","","","","7129","7140","","10.1021/ie1024744","","","90","6.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1","5","13","8","6","11","4","10","11","8","4","3"
"Kinetics of hydrogen evolution reaction on stabilized Ni, Pt and Ni-Pt nanoparticles obtained by an organometallic approach","Dominguez-Crespo, M. A.; Ramirez-Meneses, E.; Torres-Huerta, A. M.; Garibay-Febles, V.; Philippot, K.","","","","INTERNATIONAL JOURNAL OF HYDROGEN ENERGY","MAR 2012","2012","37","6","","","","4798","4811","","10.1016/j.ijhydene.2011.12.109","","","75","5.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","4","9","9","5","8","6","4","3","9","4","1"
"Use of unsupported, mechanically alloyed NiWMoC nanocatalyst to reduce the viscosity of aquathermolysis reaction of heavy oil","Rivera Olvera, Jesus Noe; Juliana Gutierrez, G.; Romero Serrano, J. A.; Medina Ovando, A.; Garibay Febles, V.; Barriga Arceo, Lucia Diaz","","","","CATALYSIS COMMUNICATIONS","JAN 5 2014","2014","43","","","","","131","135","","10.1016/j.catcom.2013.09.027","","","46","4.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","2","7","3","6","5","3","6","1","5"
"Microstructural properties and distribution of components in microparticles obtained by spray-drying","Porras-Saavedra, J.; Palacios-Gonzalez, E.; Lartundo-Rojas, L.; Garibay-Febles, V.; Yanez-Fernandez, J.; Hernandez-Sanchez, H.; Gutierrez-Lopez, G.; Alamilla-Beltran, L.","","","","JOURNAL OF FOOD ENGINEERING","MAY 2015","2015","152","","","","","105","112","","10.1016/j.jfoodeng.2014.11.014","","","45","4.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","3","8","4","2","7","5","4","4"
"Microscopy techniques and image analysis for evaluation of some chemical and physical properties and morphological features for seeds of the castor oil plant (<i>Ricinus communis</i>)","Perea-Flores, M. J.; Chanona-Perez, J. J.; Garibay-Febles, V.; Calderon-Dominguez, G.; Terres-Rojas, E.; Mendoza-Perez, J. A.; Herrera-Bucio, R.","","","","INDUSTRIAL CROPS AND PRODUCTS","JUL 2011","2011","34","1","","","","1057","1065","","10.1016/j.indcrop.2011.03.015","","","38","2.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","0","2","3","6","4","2","5","5","2","2"
"Methanol electro-oxidation reaction at the interface of (bi)-metallic (PtNi) synthesized nanoparticles supported on carbon Vulcan","Guerrero-Ortega, L. P. A.; Manzo-Robledo, A.; Ramirez-Meneses, E.; Mateos-Santiago, J.; Lartundo-Rojas, L.; Garibay-Febles, V.","","","","INTERNATIONAL JOURNAL OF HYDROGEN ENERGY","MAR 22 2018","2018","43","12","","","","6117","6130","","10.1016/j.ijhydene.2018.02.003","","","36","5.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","11","6","4","5","3"
"OPTICAL, MICROSTRUCTURAL, FUNCTIONAL AND NANOMECHANICAL PROPERTIES OF <i>Aloe vera</i> GEL/GELLAN GUM EDIBLE FILMS","Alvarado-Gonzalez, J. S.; Chanona-Perez, J. J.; Welti-Chanes, J. S.; Calderon-Dominguez, G.; Arzate-Vazquez, I.; Pacheco-Alcala, S. U.; Garibay-Febles, V.; Gutierrez-Lopez, G. F.","","","","REVISTA MEXICANA DE INGENIERIA QUIMICA","AUG 2012","2012","11","2","","","","193","210","","","","","34","2.62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","0","7","6","2","3","5","1","4","1"
"Structural and morphological study of a 2024 Al-Al<sub>2</sub>O<sub>3</sub> composite produced by mechanical alloying in high energy mill","Hernandez Rivera, J. L.; Cruz Rivera, J. J.; Paz del Angel, V.; Garibay Febles, V.; Coreno Alonso, O.; Martinez-Sanchez, R.","","","","MATERIALS & DESIGN","MAY 2012","2012","37","","","","","96","101","","10.1016/j.matdes.2011.12.035","","","32","2.46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","3","1","1","4","2","3","3","7","1","1"
