Ruiz-Morales, Yosadara (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Advances in Asphaltene Science and the Yen-Mullins Model","Mullins, Oliver C.; Sabbah, Hassan; Eyssautier, Joelle; Pomerantz, Andrew E.; Barre, Loic; Andrews, A. Ballard; Ruiz-Morales, Yosadara; Mostowfi, Farshid; McFarlane, Richard; Goual, Lamia; Lepkowicz, Richard; Cooper, Thomas; Orbulescu, Jhony; Leblanc, Roger M.; Edwards, John; Zare, Richard N.","","","","ENERGY & FUELS","JUL 2012","2012","26","7","","","","3986","4003","","10.1021/ef300185p","1st International Conference on Upstream Engineering and Flow Assurance (ICUEFA) at the Spring Meeting of the American-Institute-of-Chemical-Engineers (AIChE)","APR 01-05, 2012","729","56.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","30","36","51","65","63","67","73","74","79","86","64","38"
"HOMO-LUMO gap as an index of molecular size and structure for polycyclic aromatic hydrocarbons (PAHs) and asphaltenes: A theoretical study. I","Ruiz-Morales, Y","","","","JOURNAL OF PHYSICAL CHEMISTRY A","NOV 21 2002","2002","106","46","","","","11283","11308","","10.1021/jp021152e","","","339","14.74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","5","5","9","5","8","7","7","10","12","14","14","22","17","12","21","23","30","41","40","25"
"Polycyclic aromatic hydrocarbons of asphaltenes analyzed by molecular orbital calculations with optical spectroscopy","Ruiz-Morales, Yosadara; Mullins, Oliver C.","","","","ENERGY & FUELS","JAN-FEB 2007","2007","21","1","","","","256","265","","10.1021/ef060250m","","","131","7.28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8","13","5","11","3","4","5","12","10","12","4","6","9","10","8","5","2"
"Coarse-Grained Molecular Simulations to Investigate Asphaltenes at the Oil-Water Interface","Ruiz-Morales, Yosadara; Mullins, Oliver C.","","","","ENERGY & FUELS","MAR 2015","2015","29","3","","","","1597","1609","","10.1021/ef502766v","","","120","12.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","11","12","13","14","8","16","15","16","9"
"Island versus Archipelago Architecture for Asphaltenes: Polycyclic Aromatic Hydrocarbon Dimer Theoretical Studies","Alvarez-Ramirez, Fernando; Ruiz-Morales, Yosadara","","","","ENERGY & FUELS","APR 2013","2013","27","4","","","","1791","1808","","10.1021/ef301522m","13th International Conference on Petroleum Phase Behavior and Fouling","JUN 10-14, 2012","105","8.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","5","6","11","11","9","15","12","14","10","6"
"Electronic absorption edge of crude oils and asphaltenes analyzed by molecular orbital calculations with optical spectroscopy","Ruiz-Morales, Yosadara; Wu, Xu; Mullins, Oliver C.","","","","ENERGY & FUELS","MAR-APR 2007","2007","21","2","","","","944","952","","10.1021/ef0605605","","","92","5.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","8","4","12","5","6","6","7","4","6","0","7","5","6","2","6","2"
"Dissociation energies, vibrational frequencies, and C-13 NMR chemical shifts of the 18-electron species [M(CO)(6)](n) (M = Hf-Ir, Mo, Tc, Ru, Cr, Mn, Fe). A density functional study","Ehlers, AW; RuizMorales, Y; Baerends, EJ; Ziegler, T","","","","INORGANIC CHEMISTRY","OCT 22 1997","1997","36","22","","","","5031","5036","","10.1021/ic970223z","","","92","3.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","16","7","8","6","3","2","2","2","10","2","2","2","1","0","2","3","1","2","1","1","2","5","4","0","1","1"
"Origin of the hydridic H-1 NMR chemical shift in low-valent transition-metal hydrides","RuizMorales, Y; Schreckenbach, G; Ziegler, T","","","","ORGANOMETALLICS","SEP 17 1996","1996","15","19","","","","3920","3923","","10.1021/om960218n","","","88","3.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","7","2","3","3","3","4","4","0","1","1","4","1","2","5","2","2","2","3","10","4","1","2","0","9","4","2"
"Calculation of the interaction potential curve between asphaltene-asphaltene, asphaltene-resin, and resin-resin systems using density functional theory","Alvarez-Ramirez, F; Ramirez-Jaramillo, E; Ruiz-Morales, Y","","","","ENERGY & FUELS","JAN-FEB 2006","2006","20","1","","","","195","204","","10.1021/ef0501795","","","86","4.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","4","1","6","2","4","1","3","5","6","5","9","5","8","8","7","2"
"The agreement between Clar structures and nucleus-independent chemical shift values in pericondensed benzenoid polycyclic aromatic hydrocarbons: An application of the Y-rule","Ruiz-Morales, Y","","","","JOURNAL OF PHYSICAL CHEMISTRY A","DEC 9 2004","2004","108","49","","","","10873","10896","","10.1021/jp040179q","","","73","3.48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","5","4","3","0","3","1","4","3","1","2","2","4","7","7","8","3","3","4"
